horodate,prediction_kwh,pdl_id,segment,modele
2024-10-29 23:00:00+00:00,0.2428114,1704875583,RS,ridge_residual
2024-10-29 23:30:00+00:00,0.2108785,1704875583,RS,ridge_residual
2024-10-30 00:00:00+00:00,0.1796717,1704875583,RS,ridge_residual
2024-10-30 00:30:00+00:00,0.21860206,1704875583,RS,ridge_residual
2024-10-30 01:00:00+00:00,0.22849798,1704875583,RS,ridge_residual
2024-10-30 01:30:00+00:00,0.20213525,1704875583,RS,ridge_residual
2024-10-30 02:00:00+00:00,0.19822976,1704875583,RS,ridge_residual
2024-10-30 02:30:00+00:00,0.22130945,1704875583,RS,ridge_residual
2024-10-30 03:00:00+00:00,0.22516596,1704875583,RS,ridge_residual
2024-10-30 03:30:00+00:00,0.2300091,1704875583,RS,ridge_residual
2024-10-30 04:00:00+00:00,0.24882722,1704875583,RS,ridge_residual
2024-10-30 04:30:00+00:00,0.26948357,1704875583,RS,ridge_residual
2024-10-30 05:00:00+00:00,0.42348456,1704875583,RS,ridge_residual
2024-10-30 05:30:00+00:00,0.6374245,1704875583,RS,ridge_residual
2024-10-30 06:00:00+00:00,0.7298478,1704875583,RS,ridge_residual
2024-10-30 06:30:00+00:00,0.4307715,1704875583,RS,ridge_residual
2024-10-30 07:00:00+00:00,0.36699995,1704875583,RS,ridge_residual
2024-10-30 07:30:00+00:00,0.28825784,1704875583,RS,ridge_residual
2024-10-30 08:00:00+00:00,0.22692704,1704875583,RS,ridge_residual
2024-10-30 08:30:00+00:00,0.21412128,1704875583,RS,ridge_residual
2024-10-30 09:00:00+00:00,0.22190657,1704875583,RS,ridge_residual
2024-10-30 09:30:00+00:00,0.23575398,1704875583,RS,ridge_residual
2024-10-30 10:00:00+00:00,0.18950625,1704875583,RS,ridge_residual
2024-10-30 10:30:00+00:00,0.17704244,1704875583,RS,ridge_residual
2024-10-30 11:00:00+00:00,0.15788734,1704875583,RS,ridge_residual
2024-10-30 11:30:00+00:00,0.13712111,1704875583,RS,ridge_residual
