sample_id,label,season,hh_index,time_h,puissance_w,energy_kwh_step
RP_0000,RP,winter,0,0.0,551.3881,0.27569407
RP_0000,RP,winter,1,0.5,293.72095,0.14686048
RP_0000,RP,winter,2,1.0,194.64017,0.09732009
RP_0000,RP,winter,3,1.5,205.42458,0.10271229
RP_0000,RP,winter,4,2.0,180.33505,0.09016753
RP_0000,RP,winter,5,2.5,231.48947,0.11574473
RP_0000,RP,winter,6,3.0,197.92603,0.098963015
RP_0000,RP,winter,7,3.5,259.93903,0.12996951
RP_0000,RP,winter,8,4.0,260.34583,0.13017291
RP_0000,RP,winter,9,4.5,261.9185,0.13095924
RP_0000,RP,winter,10,5.0,233.27435,0.11663718
RP_0000,RP,winter,11,5.5,253.77249,0.12688625
RP_0000,RP,winter,12,6.0,305.90585,0.15295292
RP_0000,RP,winter,13,6.5,439.9435,0.21997176
RP_0000,RP,winter,14,7.0,686.996,0.343498
RP_0000,RP,winter,15,7.5,805.43335,0.40271667
RP_0000,RP,winter,16,8.0,792.26056,0.3961303
RP_0000,RP,winter,17,8.5,576.3488,0.28817442
RP_0000,RP,winter,18,9.0,450.28848,0.22514424
RP_0000,RP,winter,19,9.5,319.37988,0.15968995
RP_0000,RP,winter,20,10.0,230.76845,0.11538422
RP_0000,RP,winter,21,10.5,238.94292,0.11947146
RP_0000,RP,winter,22,11.0,187.81406,0.09390703
RP_0000,RP,winter,23,11.5,194.19234,0.09709617
RP_0000,RP,winter,24,12.0,205.90912,0.10295456
RP_0000,RP,winter,25,12.5,158.37068,0.079185344
RP_0000,RP,winter,26,13.0,115.318695,0.057659347
RP_0000,RP,winter,27,13.5,101.54204,0.05077102
RP_0000,RP,winter,28,14.0,94.85473,0.047427364
RP_0000,RP,winter,29,14.5,81.91913,0.040959563
RP_0000,RP,winter,30,15.0,109.46698,0.05473349
RP_0000,RP,winter,31,15.5,135.91322,0.06795661
RP_0000,RP,winter,32,16.0,134.51656,0.067258276
RP_0000,RP,winter,33,16.5,180.80804,0.09040402
RP_0000,RP,winter,34,17.0,217.57565,0.10878783
RP_0000,RP,winter,35,17.5,225.32333,0.11266167
RP_0000,RP,winter,36,18.0,309.39624,0.15469812
RP_0000,RP,winter,37,18.5,360.5283,0.18026415
RP_0000,RP,winter,38,19.0,475.19174,0.23759587
RP_0000,RP,winter,39,19.5,570.69934,0.28534967
RP_0000,RP,winter,40,20.0,743.54614,0.37177306
RP_0000,RP,winter,41,20.5,625.7654,0.3128827
RP_0000,RP,winter,42,21.0,825.8649,0.41293246
RP_0000,RP,winter,43,21.5,1092.3375,0.54616874
RP_0000,RP,winter,44,22.0,1438.9685,0.71948427
RP_0000,RP,winter,45,22.5,1940.9657,0.9704828
RP_0000,RP,winter,46,23.0,2148.766,1.074383
RP_0000,RP,winter,47,23.5,1799.7462,0.89987314
RP_0001,RP,summer,0,0.0,153.36928,0.07668464
RP_0001,RP,summer,1,0.5,119.840706,0.059920352
RP_0001,RP,summer,2,1.0,93.35379,0.046676897
RP_0001,RP,summer,3,1.5,93.94592,0.04697296
RP_0001,RP,summer,4,2.0,85.423615,0.042711806
RP_0001,RP,summer,5,2.5,110.59473,0.055297364
RP_0001,RP,summer,6,3.0,92.90584,0.046452917
RP_0001,RP,summer,7,3.5,117.54299,0.058771495
RP_0001,RP,summer,8,4.0,112.7902,0.0563951
RP_0001,RP,summer,9,4.5,99.365166,0.049682584
RP_0001,RP,summer,10,5.0,109.970695,0.054985348
RP_0001,RP,summer,11,5.5,124.02326,0.06201163
RP_0001,RP,summer,12,6.0,130.87859,0.06543929
RP_0001,RP,summer,13,6.5,104.627304,0.052313652
RP_0001,RP,summer,14,7.0,118.81127,0.059405636
RP_0001,RP,summer,15,7.5,133.35083,0.06667542
RP_0001,RP,summer,16,8.0,127.370346,0.06368517
RP_0001,RP,summer,17,8.5,84.730125,0.042365063
RP_0001,RP,summer,18,9.0,127.47899,0.06373949
RP_0001,RP,summer,19,9.5,148.88876,0.07444438
RP_0001,RP,summer,20,10.0,196.95149,0.09847575
RP_0001,RP,summer,21,10.5,286.01416,0.14300708
RP_0001,RP,summer,22,11.0,375.92236,0.18796118
RP_0001,RP,summer,23,11.5,515.16754,0.25758377
RP_0001,RP,summer,24,12.0,445.59586,0.22279793
RP_0001,RP,summer,25,12.5,269.58905,0.13479452
RP_0001,RP,summer,26,13.0,261.79892,0.13089946
RP_0001,RP,summer,27,13.5,205.48314,0.10274157
RP_0001,RP,summer,28,14.0,171.23865,0.08561932
RP_0001,RP,summer,29,14.5,141.71053,0.07085526
RP_0001,RP,summer,30,15.0,143.46735,0.071733676
RP_0001,RP,summer,31,15.5,170.32721,0.08516361
RP_0001,RP,summer,32,16.0,160.60753,0.080303766
RP_0001,RP,summer,33,16.5,145.84547,0.07292274
RP_0001,RP,summer,34,17.0,155.99431,0.077997155
RP_0001,RP,summer,35,17.5,157.62526,0.07881263
RP_0001,RP,summer,36,18.0,171.9695,0.08598475
RP_0001,RP,summer,37,18.5,186.00874,0.09300437
RP_0001,RP,summer,38,19.0,195.86888,0.09793444
RP_0001,RP,summer,39,19.5,185.27469,0.092637345
RP_0001,RP,summer,40,20.0,188.70668,0.09435334
RP_0001,RP,summer,41,20.5,169.60475,0.084802374
RP_0001,RP,summer,42,21.0,150.24945,0.075124726
RP_0001,RP,summer,43,21.5,168.15671,0.08407836
RP_0001,RP,summer,44,22.0,397.89624,0.19894812
RP_0001,RP,summer,45,22.5,795.6794,0.3978397
RP_0001,RP,summer,46,23.0,542.59705,0.27129853
RP_0001,RP,summer,47,23.5,219.56607,0.10978304
RP_0002,RP,autumn,0,0.0,799.50604,0.39975303
RP_0002,RP,autumn,1,0.5,738.39136,0.36919567
RP_0002,RP,autumn,2,1.0,761.75195,0.38087597
RP_0002,RP,autumn,3,1.5,758.57574,0.37928787
RP_0002,RP,autumn,4,2.0,749.88074,0.37494037
RP_0002,RP,autumn,5,2.5,727.5139,0.36375695
RP_0002,RP,autumn,6,3.0,685.665,0.34283248
RP_0002,RP,autumn,7,3.5,676.9018,0.3384509
RP_0002,RP,autumn,8,4.0,703.749,0.3518745
RP_0002,RP,autumn,9,4.5,718.9901,0.35949504
RP_0002,RP,autumn,10,5.0,702.0973,0.35104865
RP_0002,RP,autumn,11,5.5,707.78,0.35389
RP_0002,RP,autumn,12,6.0,673.0927,0.33654636
RP_0002,RP,autumn,13,6.5,697.1888,0.3485944
RP_0002,RP,autumn,14,7.0,692.2551,0.34612757
RP_0002,RP,autumn,15,7.5,697.43854,0.34871927
RP_0002,RP,autumn,16,8.0,647.7467,0.32387334
RP_0002,RP,autumn,17,8.5,557.0713,0.27853563
RP_0002,RP,autumn,18,9.0,575.4427,0.28772134
RP_0002,RP,autumn,19,9.5,547.08234,0.27354118
RP_0002,RP,autumn,20,10.0,537.069,0.26853448
RP_0002,RP,autumn,21,10.5,494.07892,0.24703945
RP_0002,RP,autumn,22,11.0,520.5074,0.2602537
RP_0002,RP,autumn,23,11.5,507.04007,0.25352004
RP_0002,RP,autumn,24,12.0,523.185,0.2615925
RP_0002,RP,autumn,25,12.5,618.59595,0.30929798
RP_0002,RP,autumn,26,13.0,636.3797,0.31818986
RP_0002,RP,autumn,27,13.5,646.7263,0.32336316
RP_0002,RP,autumn,28,14.0,647.59357,0.32379678
RP_0002,RP,autumn,29,14.5,624.1545,0.31207725
RP_0002,RP,autumn,30,15.0,588.9883,0.29449415
RP_0002,RP,autumn,31,15.5,564.3771,0.28218853
RP_0002,RP,autumn,32,16.0,535.3317,0.26766586
RP_0002,RP,autumn,33,16.5,539.89636,0.26994818
RP_0002,RP,autumn,34,17.0,583.7349,0.29186746
RP_0002,RP,autumn,35,17.5,566.2587,0.28312936
RP_0002,RP,autumn,36,18.0,658.72064,0.3293603
RP_0002,RP,autumn,37,18.5,650.9023,0.32545114
RP_0002,RP,autumn,38,19.0,719.4881,0.35974404
RP_0002,RP,autumn,39,19.5,731.86115,0.3659306
RP_0002,RP,autumn,40,20.0,712.405,0.3562025
RP_0002,RP,autumn,41,20.5,741.5628,0.3707814
RP_0002,RP,autumn,42,21.0,707.3256,0.35366282
RP_0002,RP,autumn,43,21.5,739.0841,0.36954206
RP_0002,RP,autumn,44,22.0,856.0695,0.42803475
RP_0002,RP,autumn,45,22.5,1046.6493,0.52332467
RP_0002,RP,autumn,46,23.0,985.512,0.492756
RP_0002,RP,autumn,47,23.5,919.6351,0.45981753
RP_0003,RP,spring,0,0.0,1626.3468,0.8131734
RP_0003,RP,spring,1,0.5,1613.4702,0.8067351
RP_0003,RP,spring,2,1.0,1639.3535,0.81967676
RP_0003,RP,spring,3,1.5,1632.9303,0.81646514
RP_0003,RP,spring,4,2.0,1609.9144,0.8049572
RP_0003,RP,spring,5,2.5,1605.1552,0.80257756
RP_0003,RP,spring,6,3.0,1587.4067,0.7937034
RP_0003,RP,spring,7,3.5,1301.0295,0.6505148
RP_0003,RP,spring,8,4.0,1167.2174,0.5836087
RP_0003,RP,spring,9,4.5,1132.3307,0.5661653
RP_0003,RP,spring,10,5.0,1011.77875,0.50588936
RP_0003,RP,spring,11,5.5,829.13525,0.41456762
RP_0003,RP,spring,12,6.0,831.4148,0.4157074
RP_0003,RP,spring,13,6.5,788.1517,0.39407584
RP_0003,RP,spring,14,7.0,579.77185,0.28988594
RP_0003,RP,spring,15,7.5,515.58044,0.2577902
RP_0003,RP,spring,16,8.0,487.03693,0.24351846
RP_0003,RP,spring,17,8.5,404.86652,0.20243326
RP_0003,RP,spring,18,9.0,359.8845,0.17994225
RP_0003,RP,spring,19,9.5,308.807,0.15440351
RP_0003,RP,spring,20,10.0,310.64545,0.15532273
RP_0003,RP,spring,21,10.5,304.77292,0.15238646
RP_0003,RP,spring,22,11.0,379.90744,0.18995371
RP_0003,RP,spring,23,11.5,434.6248,0.2173124
RP_0003,RP,spring,24,12.0,522.58594,0.26129296
RP_0003,RP,spring,25,12.5,598.50244,0.29925123
RP_0003,RP,spring,26,13.0,765.1536,0.38257682
RP_0003,RP,spring,27,13.5,1012.4609,0.5062304
RP_0003,RP,spring,28,14.0,1559.3358,0.7796679
RP_0003,RP,spring,29,14.5,1982.8069,0.99140346
RP_0003,RP,spring,30,15.0,2307.3262,1.153663
RP_0003,RP,spring,31,15.5,1717.5012,0.8587506
RP_0003,RP,spring,32,16.0,1622.3555,0.81117773
RP_0003,RP,spring,33,16.5,1240.7401,0.62037003
RP_0003,RP,spring,34,17.0,1213.6775,0.60683876
RP_0003,RP,spring,35,17.5,850.5822,0.42529112
RP_0003,RP,spring,36,18.0,846.1167,0.42305836
RP_0003,RP,spring,37,18.5,769.0418,0.38452092
RP_0003,RP,spring,38,19.0,856.86273,0.42843136
RP_0003,RP,spring,39,19.5,781.8626,0.3909313
RP_0003,RP,spring,40,20.0,870.97815,0.4354891
RP_0003,RP,spring,41,20.5,841.47125,0.42073563
RP_0003,RP,spring,42,21.0,986.5597,0.49327984
RP_0003,RP,spring,43,21.5,843.223,0.42161152
RP_0003,RP,spring,44,22.0,873.99615,0.43699807
RP_0003,RP,spring,45,22.5,1033.4076,0.5167038
RP_0003,RP,spring,46,23.0,1013.1667,0.50658333
RP_0003,RP,spring,47,23.5,1241.0735,0.62053674
RP_0004,RP,winter,0,0.0,655.0034,0.3275017
RP_0004,RP,winter,1,0.5,543.37054,0.27168527
RP_0004,RP,winter,2,1.0,555.38007,0.27769002
RP_0004,RP,winter,3,1.5,683.4003,0.34170017
RP_0004,RP,winter,4,2.0,1232.7247,0.6163624
RP_0004,RP,winter,5,2.5,1275.2598,0.63762987
RP_0004,RP,winter,6,3.0,971.1786,0.4855893
RP_0004,RP,winter,7,3.5,839.84467,0.41992232
RP_0004,RP,winter,8,4.0,690.9252,0.3454626
RP_0004,RP,winter,9,4.5,575.1783,0.28758913
RP_0004,RP,winter,10,5.0,487.17355,0.24358678
RP_0004,RP,winter,11,5.5,437.73087,0.21886544
RP_0004,RP,winter,12,6.0,367.3088,0.1836544
RP_0004,RP,winter,13,6.5,324.24176,0.16212088
RP_0004,RP,winter,14,7.0,319.70514,0.15985256
RP_0004,RP,winter,15,7.5,355.94104,0.17797051
RP_0004,RP,winter,16,8.0,393.14352,0.19657177
RP_0004,RP,winter,17,8.5,432.36133,0.21618067
RP_0004,RP,winter,18,9.0,449.97012,0.22498506
RP_0004,RP,winter,19,9.5,375.16772,0.18758386
RP_0004,RP,winter,20,10.0,556.4447,0.27822235
RP_0004,RP,winter,21,10.5,527.3264,0.2636632
RP_0004,RP,winter,22,11.0,491.28348,0.24564174
RP_0004,RP,winter,23,11.5,408.7393,0.20436965
RP_0004,RP,winter,24,12.0,542.5019,0.27125093
RP_0004,RP,winter,25,12.5,776.771,0.3883855
RP_0004,RP,winter,26,13.0,805.93726,0.40296862
RP_0004,RP,winter,27,13.5,1149.2375,0.57461876
RP_0004,RP,winter,28,14.0,2163.8662,1.0819331
RP_0004,RP,winter,29,14.5,2464.624,1.232312
RP_0004,RP,winter,30,15.0,1608.8693,0.80443466
RP_0004,RP,winter,31,15.5,1192.0839,0.5960419
RP_0004,RP,winter,32,16.0,900.6943,0.45034713
RP_0004,RP,winter,33,16.5,647.43805,0.32371902
RP_0004,RP,winter,34,17.0,582.61957,0.29130977
RP_0004,RP,winter,35,17.5,535.00037,0.2675002
RP_0004,RP,winter,36,18.0,564.23157,0.2821158
RP_0004,RP,winter,37,18.5,560.58673,0.28029338
RP_0004,RP,winter,38,19.0,523.53076,0.2617654
RP_0004,RP,winter,39,19.5,608.5864,0.30429322
RP_0004,RP,winter,40,20.0,781.5752,0.3907876
RP_0004,RP,winter,41,20.5,913.40063,0.45670033
RP_0004,RP,winter,42,21.0,993.88055,0.49694028
RP_0004,RP,winter,43,21.5,1090.6039,0.5453019
RP_0004,RP,winter,44,22.0,967.3256,0.4836628
RP_0004,RP,winter,45,22.5,854.3487,0.42717436
RP_0004,RP,winter,46,23.0,731.2289,0.36561444
RP_0004,RP,winter,47,23.5,767.3568,0.3836784
RP_0005,RP,winter,0,0.0,662.1901,0.33109507
RP_0005,RP,winter,1,0.5,550.50726,0.27525362
RP_0005,RP,winter,2,1.0,769.91473,0.38495737
RP_0005,RP,winter,3,1.5,1563.211,0.78160554
RP_0005,RP,winter,4,2.0,1989.8563,0.9949282
RP_0005,RP,winter,5,2.5,1861.3776,0.9306888
RP_0005,RP,winter,6,3.0,1884.8561,0.94242805
RP_0005,RP,winter,7,3.5,1974.1439,0.98707193
RP_0005,RP,winter,8,4.0,1540.7177,0.7703588
RP_0005,RP,winter,9,4.5,1403.745,0.70187247
RP_0005,RP,winter,10,5.0,816.02124,0.40801063
RP_0005,RP,winter,11,5.5,584.4106,0.2922053
RP_0005,RP,winter,12,6.0,584.7848,0.2923924
RP_0005,RP,winter,13,6.5,588.74524,0.29437262
RP_0005,RP,winter,14,7.0,359.09738,0.1795487
RP_0005,RP,winter,15,7.5,232.01709,0.11600854
RP_0005,RP,winter,16,8.0,118.251045,0.059125524
RP_0005,RP,winter,17,8.5,107.46588,0.05373294
RP_0005,RP,winter,18,9.0,52.396236,0.026198119
RP_0005,RP,winter,19,9.5,55.60485,0.027802425
RP_0005,RP,winter,20,10.0,85.38534,0.04269267
RP_0005,RP,winter,21,10.5,97.99373,0.048996866
RP_0005,RP,winter,22,11.0,55.993828,0.027996914
RP_0005,RP,winter,23,11.5,62.7829,0.03139145
RP_0005,RP,winter,24,12.0,295.56247,0.14778124
RP_0005,RP,winter,25,12.5,624.28894,0.31214446
RP_0005,RP,winter,26,13.0,770.55975,0.38527986
RP_0005,RP,winter,27,13.5,715.55316,0.35777658
RP_0005,RP,winter,28,14.0,860.0171,0.43000853
RP_0005,RP,winter,29,14.5,680.5283,0.34026417
RP_0005,RP,winter,30,15.0,474.88214,0.23744108
RP_0005,RP,winter,31,15.5,407.4966,0.2037483
RP_0005,RP,winter,32,16.0,359.9499,0.17997494
RP_0005,RP,winter,33,16.5,363.10953,0.18155476
RP_0005,RP,winter,34,17.0,361.97116,0.18098558
